station,valid,lon,lat,tmpc,drct,sknt
DWH,2011-02-01 00:45,-95.5562,30.0680,18.00,140.00,12.00
GYB,2011-02-01 00:45,-96.9800,30.1700,20.60,150.00,6.00
GOP,2011-02-01 00:45,-97.7970,31.4213,16.00,90.00,7.00
T82,2011-02-01 00:45,-98.9092,30.2432,18.20,null,null
DUX,2011-02-01 00:45,-102.0130,35.8580,-7.00,30.00,11.00
JXI,2011-02-01 00:45,-94.9500,32.7000,15.00,120.00,5.00
BEA,2011-02-01 00:45,-97.7910,28.3619,20.30,140.00,9.00
BBD,2011-02-01 00:45,-99.3239,31.1793,20.00,150.00,11.00
JAS,2011-02-01 00:45,-94.0349,30.8857,18.80,120.00,5.00
TFP,2011-02-01 00:45,-97.2115,27.9130,19.70,130.00,10.00
LHB,2011-02-01 00:45,-96.6200,30.8700,20.20,100.00,4.00
DKR,2011-02-01 00:45,-95.4038,31.3070,17.00,90.00,6.00
OSA,2011-02-01 00:45,-94.9614,33.0956,12.50,40.00,5.00
SEP,2011-02-01 00:45,-98.1777,32.2153,8.00,30.00,7.00
INJ,2011-02-01 00:45,-97.0972,32.0836,14.60,50.00,10.00
ORG,2011-02-01 00:45,-93.8036,30.0692,17.00,null,null
LUD,2011-02-01 00:45,-97.5805,33.2542,7.50,50.00,6.00
GYI,2011-02-01 00:45,-96.6737,33.7141,10.00,40.00,11.00
11R,2011-02-01 00:45,-96.3742,30.2189,21.00,150.00,8.00
CVB,2011-02-01 00:45,-98.8509,29.3419,21.30,140.00,13.00
PPA,2011-02-01 00:45,-100.9963,35.6130,-7.00,20.00,15.00
SLR,2011-02-01 00:45,-95.6200,33.1600,12.50,60.00,6.00
MDD,2011-02-01 00:45,-102.1010,32.0365,11.90,60.00,27.00
RPH,2011-02-01 00:45,-98.5550,33.1100,7.20,20.00,7.00
LNC,2011-02-01 00:45,-96.7190,32.5792,12.70,40.00,5.00
GNC,2011-02-01 00:45,-102.6527,32.6753,4.40,40.00,18.00
CPT,2011-02-01 00:45,-97.4338,32.3537,12.00,20.00,14.00
PVW,2011-02-01 00:45,-101.7173,34.1681,-1.10,30.00,19.00
CWC,2011-02-01 00:45,-98.4904,33.8578,5.60,30.00,21.00
AQO,2011-02-01 00:45,-98.6619,30.7836,20.00,null,null
3T5,2011-02-01 00:45,-96.9500,29.9100,20.80,150.00,6.00
0F2,2011-02-01 00:45,-97.7756,33.6017,9.20,40.00,8.00
