station,valid,lon,lat,tmpc
HRL,2017-12-07 00:25,-97.6544,26.2285,null
HYI,2017-12-07 00:25,-97.8630,29.8927,null
IAH,2017-12-07 00:25,-95.3414,29.9844,null
ILE,2017-12-07 00:25,-97.6865,31.0858,null
INK,2017-12-07 00:25,-103.2000,31.7800,null
JCT,2017-12-07 00:25,-99.7664,30.5108,null
LBB,2017-12-07 00:25,-101.8228,33.6636,null
LBX,2017-12-07 00:25,-95.4621,29.1086,null
LFK,2017-12-07 00:25,-94.7500,31.2340,null
LVJ,2017-12-07 00:25,-95.2400,29.5200,null
MAF,2017-12-07 00:25,-102.2075,31.9466,null
MFE,2017-12-07 00:25,-98.2386,26.1758,null
MRF,2017-12-07 00:25,-104.0200,30.3700,null
MWL,2017-12-07 00:25,-98.0602,32.7816,null
OCH,2017-12-07 00:25,-94.7094,31.5778,null
ODO,2017-12-07 00:25,-102.3867,31.9206,null
PIL,2017-12-07 00:25,-97.3378,26.1597,null
